lng,lat
16.41455,48.27949
16.4154613,48.2345782
16.42336934,48.28002497
16.34396,48.20781
16.2675777,48.1941694
16.3488114,48.2101672
16.3879486,48.1915408
16.47972,48.21981
16.33738,48.19802
16.42787,48.2541
16.3852668,48.1907921
16.36977,48.20882
16.4358974,48.2034203
16.38596,48.19442
16.30131,48.19668
16.37652,48.20882
16.40288,48.18765
16.3449149,48.2371956
16.2834,48.16022
16.43995,48.16022
16.35052679,48.19608903
16.32928475,48.23222322
16.33198,48.17282
16.31695184,48.1642434
16.27424,48.1371
16.26813,48.18712
16.3855009,48.2152831
16.3112871,48.2105481
16.36018,48.18615
16.40756,48.24932
16.4179066,48.2302988
16.37247,48.22509
16.3093968,48.1997388
16.29746659,48.19630594
16.3579304,48.2449343
16.3778677,48.1791179
16.3683244,48.2165876
16.39968,48.26071
16.3363243,48.1953824
16.434685,48.2448673
16.41430499,48.2520252
16.47968,48.22224
16.37013,48.19399
16.43893787,48.19937454
16.3527937,48.1865976
16.39794,48.22342
16.33364,48.17452
16.25378,48.20234
16.369914,48.221866
16.3612,48.20024
16.42331,48.21246
16.31325,48.15225
16.4150064,48.2787014
16.39017,48.18309
16.37247,48.22862
16.31254,48.19896
16.3719034,48.2252292
16.43455,48.19982
16.3355514,48.2458453
16.4607278,48.161211
16.37247,48.18452
16.3516427,48.1919163
16.31522,48.2198
16.3978003,48.261125
16.3484918,48.200195
16.35897,48.20882
16.3266609,48.2271456
16.44443,48.2528982
16.3948728,48.252527
16.35358,48.20252
16.31984,48.21062
16.511471,48.2133213
16.3856535,48.2057565
16.3744872,48.2024263
16.4020853,48.1427478
16.42075,48.2108
16.4042488,48.2178328
16.3804965,48.2201401
16.41161,48.23402
16.35773,48.24463
16.366215,48.1979077
16.36302294,48.22952295
16.3758276,48.214486
16.3905775,48.2118934
16.21704,48.20799
16.4044376,48.2643598
16.35205,48.2254322
16.39136,48.22592
16.36393,48.19758
16.3877644,48.2880948
16.29768,48.19617
16.36707152,48.20882088
16.3700341,48.2218212
16.2826732,48.1939776
16.2860423,48.1893757
16.36389,48.18401
16.37921727,48.18451845
16.3320136,48.1823883
16.27996,48.1723
16.27395,48.18992
16.3165876,48.2203563
16.3813548,48.2357621
16.5005749,48.2674729
16.3994627,48.2233681
16.3756973,48.2036803
16.39746088,48.22918711
16.4234329,48.2677903
16.2851463,48.1514547
16.388664,48.2673267
16.3684041,48.2234007
